Date,news,Adj Close
2010-04-19,Staterun Punjab said Monday bought 6364 stake JSC Dana Kazakhstan 35 billion Tenge USD 2376 millionStay away smallcap banks says Ajay Srivastava CEO Dimensions ConsultingPNB target Rs 1312 says Jagannadham Thununguntla SMC CapBulls Eye popular game show CNBCTV18 offer investors chance look stocks added portfolio,96.512688
2010-04-16,Lanco Infratech Ltd said Monday secured debt 5549 bn Rs consortium banks 1320 MW thermal power project b,96.81907700000001
2011-12-29,In January companies announce results quarter ending December 31 2010 In interview CNBCTV18 Abhijit Mazumdar Prabhuda,89.607948
2011-12-28,Karvy Stock Broking come earning estimates banking sector quarter ended December 2010 According research firm PunBuy 1150 Put says VK Sharma Head Private Broking Wealth Management HDFC Securities,88.85633100000001
2011-12-20,Prabhudas Lilladher come earning estimates banking sector quarter ended December 2010 According research firm Pun,89.286636
2011-12-12,KRChoksey come earning estimates banking financial sector quarter ended December 2010 According research firm,102.45989200000001
2011-01-12,Angel Broking come earning estimates banking sector quarter ended December 2010 According research firm Punjab Na,122.87640400000001
2011-08-11,Staterun lender Punjab restructured insurance mutual fund joint ventures buying partners stake insurance v,127.52694699999999
2011-04-11,Speaking banks earnings KR Kamath CMD told CNBCTV18 recoveries higher time around last year Kamath expects loan gStaterun Punjab set announce results quarter ended December 2010 It reported net profit Rs 1090 crore Punjab set announce results quarter ended December 2010 According CNBCTV18 estimates net profit exp,122.567116
2011-03-11,Midcap Indian banks reported strong profits OctoberDecember Friday riding robust loan growth increased corporate activity rising,110.46918500000001
2011-02-11,Karvy Stock Broking maintained outperformer rating Punjab target Rs 1380 January 24 2011 research repo,106.59288000000001
2011-01-11,Angel Broking bullish Punjab recommended accumulate rating stock target Rs 1259 January 21 KRChoksey bullish Punjab recommended buy rating stock target Rs 1512 January 25 2011 research rep,121.051651
2011-09-30,Axis looks attractive says Sam Mahtani FC Investments IIFL bullish Punjab recommended buy rating stock target Rs 1370 March 10 2011 research repo,109.35635400000001
2011-08-25,Prashastha Seth Senior VP IIFL Private Wealth positive banking stocks,110.251396
2011-11-08,Apparel manufacturer Koutons Retail admitted debt clouds hanging company option planning debt resPrefer Of Baroda Punjab says Devang Mehta Anand Rathi Financial ServicesPrefer private sector banks says Abhijit Chakraborty Fortune FinancialMotilal Oswal come report public sector banksAditya Birla Money bullish Punjab recommended buy rating stock target Rs 11801200 March 25,112.25376899999999
2011-08-08,Nirmal Jain Chairman India Infoline bullish HDFC LIC Housing Fin Yes BankBank Baroda Chairman Managing Director M D Mallya take Chairman Indian Banks Association IBA April 1,126.425354
2011-03-08,Keep Rs 12101212 stoploss says Anu Jain IIFL Private Wealth Management,111.91763300000001
2011-02-08,Sharekhan come earning estimates banking sector quarter ended March 2011 According research firm Punjab Staterun Punjab Ltd shortlisted Bharti Axa Life Aviva Life MetLife life insurance tieup Economic Times repo,103.59288000000001
2011-07-29,Emkay Global Financial Services come earning estimates banking sector quarter ended March 2011 According research,128.967056
2011-07-28,Angel Broking come earning estimates banking sector quarter ended March 2011 According research firm Punjab Natio,126.26470900000001
2011-07-27,The CBI filed case alleging Venkoba Gujjal deputy general manager Punjab giving bribes get loans reports CNBCTV18,129.213776
2011-07-15,Indias banks likely raise upto USD 9 billion overseas bonds issuance corporates grow foreign business organically acqu,130.826004
2011-12-07,The Reserve India RBI relaxed provisioning norms banks retrospective effect September 30 2010 turn could help b,105.684357
2011-07-07,Punjab announce fourth quarter results According CNBCTV18s estimates companys net interest income NII seen upPunjab support Rs 1050 says Shardul Kulkarni Sr Technical Analyst Angel Broking,131.267776
